ID	example_id	stem_id	example_form	ex_DE	ex_EN	ex_form_IDN	ex_form_IDN_edited
3372	17_1687269638_2	17_1687269638	eahaboʔo:ixi	das für jmd Beten	praying for someone (noun)	mendoakan seseorang (kata benda)	
3373	17_1687269804_0	17_1687269804	kaboʔokixi	bei jemandem explodieren	to explode (at somebody's place)	meledak (di tempat seseorang)	
3374	17_1687269804_1	17_1687269804	dibaboʔokixi	sie ließen explodieren	they exploded (something else)	mereka meledak (sesuatu yang lain)	
3375	17_1687349779_0	17_1687349779	budahíaʔa ʔua kipuʔuda	beinahe fiel ich hin	I almost fell down	Aku hampir jatuh	
3376	17_1687349860_0	17_1687349860	kaʔabudara	(Donner) dröhnen	(thunder) to roar	(guntur) mengaum	
3377	17_1687350081_0	17_1687350081	kibuho	jung (nicht von Menschen) , frisch ; taub , hohl (Früchte ohne Inhalt)	young (not of humans) , fresh ; deaf , hollow (fruit without content)	muda (bukan manusia), segar; tuli, hampa (buah tanpa isi)	
3378	17_1687350081_1	17_1687350081	ehũã kibuho	die Frucht ist jung	the fruit is young	buahnya masih muda	
3379	17_1687350246_0	17_1687350246	ebúhui eapu uʔono	dgl	and the like	dan sejenisnya	
3380	17_1687350246_1	17_1687350246	ebúhui edəadəa	dgl	and the like	dan sejenisnya	
3381	17_1687350246_2	17_1687350246	ebúhui pohopa ubaka	dgl	and the like	dan sejenisnya	
3382	17_1687350444_0	17_1687350444	pahabuiyaʔa	versammelt euchǃ	gather togetherǃ (pl)	berkumpul bersamaǃ (pl)	
3383	17_1687350444_1	17_1687350444	ʔika kipahabuiyaʔa	wir versammeln uns	we gather together	kita berkumpul bersama	
3384	17_1687350444_2	17_1687350444	yapahabuhabuiyaʔa	sie versammeln sich immer wieder	they gather again and again	mereka berkumpul lagi dan lagi	
3385	17_1687350573_0	17_1687350573	ekaka Bukixi	Buginese	Buginese	Bahasa Bugis	
3386	17_1687351075_0	17_1687351075	ebuo Rolle	Hilfszählwort für Taue	Auxiliary counting word for ropes	Kata bantu penghitungan untuk tali	
3387	17_1687351075_1	17_1687351075	arohabuo	zwei Rollen	two rolls	dua gulungan	
3388	17_1687351075_2	17_1687351075	kabuobuo	vollrund	fully round	bulat penuh	
3389	17_1687351075_3	17_1687351075	kipabuo	rund machen , aufrollen	make round , roll up	buat bulat, gulung	
3390	17_1687351075_4	17_1687351075	kidipabuo	aufgerollt	rolled up	digulung	
3391	17_1687351075_5	17_1687351075	epabuo	Instrument zum Rundmachen	Instrument for rounding	Instrumen untuk pembulatan	
3392	17_1687351075_6	17_1687351075	edipabuo	Aufgerolltes	(things) rolled up (noun)	(benda) yang digulung (kata benda)	
3393	17_1687351075_7	17_1687351075	epabúoho	Aufzurollendes	(things) to be rolled up (noun)	(benda) yang digulung (kata benda)	
3394	17_1687351075_8	17_1687351075	epahabuoa	Aufrollensort	place of rolling up	tempat menggulung	
3395	17_1687351248_0	17_1687351248	kaʔabuo	etwas zu tun pflegen , etwas gewohnt sein	To be used to doing something	Terbiasa melakukan sesuatu	
3396	17_1687351248_1	17_1687351248	hoo baʔabuo	bereits gewohnt sein	already be used to	sudah terbiasa dengan	
3397	17_1687351514_0	17_1687351514	kibopo	häßlich	ugly	jelek	
3398	17_1687351514_1	17_1687351514	kipapopoʔói	sämtlich häßlich sein	to be altogether ugly	menjadi sama sekali jelek	
3399	17_1687351514_2	17_1687351514	eitabopo	Häßlichkeit	ugliness	keburukan	
3400	17_1687352135_0	17_1687352135	kaborikii	bekriegen , bekämpfen	to fight	untuk melawan	
3401	17_1687352135_1	17_1687352135	epaborikii	Kampf , Krieg , das im Krieg miteinander Liegen	fight , war , being at war with each other	berkelahi, berperang, berperang satu sama lain	
3402	17_1687352135_2	17_1687352135	kipaborikii hii	im Krieg liegen mit	be at war with	berperang dengan	
3403	17_1687352135_3	17_1687352135	kaborikíaʔa	mit etwas bekriegen	to make war with something	untuk berperang dengan sesuatu	
3404	17_1687352135_4	17_1687352135	kidaborikíaʔa	mit etwas bekriegt werden	to be made war at with something	untuk berperang dengan sesuatu	
3405	17_1687352135_5	17_1687352135	edaborikii	(noun) Bekriegte	the party against whom war is made (noun)	pihak yang diperangi (kata benda)	
3406	17_1687352135_6	17_1687352135	eoborikii	Bekriegensmittel = Speer	Means of war = spear	Alat perang = tombak	
3407	17_1687352135_7	17_1687352135	edaborikíaʔa	das zum Bekriegen Benutzte	that which is used for war	yang digunakan untuk perang	
3408	17_1687352135_8	17_1687352135	eaborikiaʔaho	das zum Bekriegen zu Benutzende	that which is to be used for war	yang akan digunakan untuk perang	
3410	17_1687352731_0	17_1687352731	kabua:i	verstreuen , durcheinanderwerfen	scatter , throw together	menyebarkan, melempar bersama	
3411	17_1687352731_1	17_1687352731	kahabúa:i	verstreuen	scatter	menyebar	
3412	17_1687352731_2	17_1687352731	eahabua:iya	Ort , wo man etwas verstreut	Place where you scatter something	Tempat di mana Anda menyebarkan sesuatu	
3413	17_1687352731_3	17_1687352731	kidabua:i	verstreut werden	be scattered	tersebar	
3414	17_1687352731_4	17_1687352731	edabua:i	(noun) Verstreute	(thing) scattered (noun)	(benda) tersebar (kata benda)	
3415	17_1687352975_0	17_1687352975	kipabúbu	(Wellen) ununterbrochen kommen	(waves) come continuously	(gelombang) datang terus menerus	
3416	17_1687353046_0	17_1687353046	ebubuu uara ukixo	Reisbrei	rice porridge	bubur nasi	
3417	17_1687353415_0	17_1687353415	kibubúʔui	etwas ver- , ausspritzen	squirt something out	menyemprotkan sesuatu	
3418	17_1687353415_1	17_1687353415	hoo bubúʔui	bereits ausgespritzt	already squirted out	sudah disemprotkan keluar	
3419	17_1687353415_2	17_1687353415	edibubúʔui	(noun) Ausgespritzte	(thing) squirted out (noun)	(benda) yang disemprotkan (kata benda)	
3420	17_1687353415_3	17_1687353415	eububúʔui	das , womit man spritzt	that with which one squirts	yang dengannya seseorang menyemprotkan	
3421	17_1687353415_4	17_1687353415	ehabubuʔuíya	Ort , wo man spritzt	place where one squirts	tempat di mana seseorang menyemprotkan	
3422	17_1687579337_0	17_1687579337	nãmũʔẽẽ	sie stoßen	they bump	mereka bertemu	
3423	17_1687590517_0	17_1687590517	eʔea uamẽẽ	"Perle (""Stein der Tridacna"")"	"pearl (""stone of the tridacna"")"	"mutiara (""batu tridacna"")"	
3424	17_1687590578_0	17_1687590578	keʔa	etwas behutsam tun	to do something carefully	untuk melakukan sesuatu dengan hati-hati	
3425	17_1687590975_0	17_1687590975	eʔánãnãʔã	damals	at that time	pada saat itu	
3426	17_1687591542_0	17_1687591542	kiʔebara	(Schneide eines Haumessers) gebogen sein	(cutting edge of a house knife) to be curved	(ujung tombak pisau rumah) yang akan dilengkungkan	
3427	17_1687591542_1	17_1687591542	ekiʔebara	gebogen (MOD 237: altri coltelli più piccoli che servono per gli usi di cucina e per piccoli lavori sono detti eachiebára , eáo)	curved (MOD 237: other smaller knives that are used for cooking and small jobs are called eachiebára , eáo)	melengkung (MOD 237: pisau lain yang lebih kecil yang digunakan untuk memasak dan pekerjaan kecil disebut eachiebára , eáo)	
3429	17_1687591829_0	17_1687591829	kedaba	aufhören	stop	berhenti	
3430	17_1687591829_1	17_1687591829	kedaba ekidáiʔiu	meine Gedanken hören auf	my thoughts stop	pikiran saya berhenti	
3431	17_1687592594_0	17_1687592594	kede	erklettern , erklimmen , herabholen (Früchte)	climb up , climb up , bring down (fruit)	memanjat, memanjat, menurunkan (buah)	
3432	17_1687592594_1	17_1687592594	ʔua kahéde	ich hole herab	I fetch down	Aku mengambil ke bawah	
3433	17_1687592594_10	17_1687592594	ahedéaʔa ʔua	hole mir (für mich) herabǃ	fetch down (for me)ǃ (sg)	mengambil (untuk saya) ǃ (sg)	
3434	17_1687592594_2	17_1687592594	kixii bahede	wieder herabholen	bring down again	turunkan lagi	
3435	17_1687592594_3	17_1687592594	eaha:ede	(noun) Erklettern usw	the climbing , etc.	pendakian, dll.	
3436	17_1687592594_4	17_1687592594	eahedea	Erkletternsort , Herabholensort	climbing place , fetching down place	tempat memanjat, mengambil tempat turun	
3437	17_1687592594_5	17_1687592594	epaede	Bambusstock zum Abstoßen der Früchte	Bamboo stick to push off the fruit	Tongkat bambu untuk mendorong buah	
3438	17_1687592594_6	17_1687592594	eeede	das , was zum Erklettern benutzt wird	that which is used for climbing	yang digunakan untuk memanjat	
3439	17_1687592594_7	17_1687592594	edede	(noun) Erkletterte	the (thing) climbed (noun)	(benda) yang dipanjat (kata benda)	
3440	17_1687592594_8	17_1687592594	edede ukaka eʔana ehũã	das Herabgeholte jenes Menschen sind Früchte	the thing brought down by that person is fruit	benda yang dibawa oleh orang itu adalah buah	
3441	17_1687592594_9	17_1687592594	kedéaʔa	etwas zum Herabholen/ Erklettern benutzen	use something to bring down/climb	menggunakan sesuatu untuk menurunkan/memanjat	
3442	17_1687593385_0	17_1687593385	kedo	weinen	weep	menangis	
3443	17_1687593385_1	17_1687593385	kapa:edo	zum Weinen veranlassen	cause to weep	menyebabkan menangis	
3444	17_1687593385_10	17_1687593385	eedo	das Weinen	the weeping	tangisan	
3445	17_1687593385_11	17_1687593385	poedo	ein Schreihals sein	be a screamer	jadilah screamer	
3446	17_1687593385_12	17_1687593385	kebedo yadixoada	sie weinen laut	they cry loudly	mereka menangis dengan keras	
3447	17_1687593385_13	17_1687593385	kapa:edoi	sie weinten alle	they all cried	mereka semua menangis	
3448	17_1687593385_14	17_1687593385	kedoi	beweinen	weep	menangis	
3449	17_1687593385_15	17_1687593385	hoo bedoi	bereits beweinen	already mourn	sudah berkabung	
3450	17_1687593385_16	17_1687593385	kedóiya	wird beweinen	will weep for	akan menangis untuk	
3451	17_1687593385_17	17_1687593385	kahabedoi	gehen zu weinen	go to weep	pergi untuk menangis	
3452	17_1687593385_2	17_1687593385	ki kipa:edói iʔioo ukabake eʔana	sie beweinen jenen Verstorbenen dauernd	they weep for that deceased person all the time	mereka menangisi orang yang telah meninggal itu sepanjang waktu	
3453	17_1687593385_3	17_1687593385	kidedoi	beweint werden	be mourned	berkabung	
3454	17_1687593385_4	17_1687593385	ededoi	(noun) Beweinte	the (person) mourned/lamented (noun)	(orang) yang berduka/berkabung (kata benda)	
3455	17_1687593385_5	17_1687593385	epa:edoi	(noun) Beweinen	the weeping/mourning/lamenting	tangisan/kabung/ ratapan	
3456	17_1687593385_6	17_1687593385	eedoiyo	(noun) zu Beweinende	the (person) to be mourned (noun)	(orang) yang akan berduka (kata benda)	
3457	17_1687593385_7	17_1687593385	kapaedoipe	laßt uns beweinenǃ	let us weepǃ	mari kita menangisǃ	
3458	17_1687593385_8	17_1687593385	paédoi	beweint einanderǃ	weep for one anotherǃ	saling menangisi satu sama lainǃ	
3459	17_1687593385_9	17_1687593385	ededoaʔa	(noun) Beweinte	the (person) mourned/lamented (noun)	(orang) yang berduka/berkabung (kata benda)	
3460	17_1687593531_0	17_1687593531	kedoaʔa	achten	to respect	untuk menghormati	
3461	17_1687593531_1	17_1687593531	ededoaʔa	der Geachtete	the respected	yang dihormati	
3462	17_1687593531_2	17_1687593531	epaedoaʔa	Nachsicht	indulgence	mengumbar	
3464	17_1687593689_0	17_1687593689	kabuʔedoha i-	er hängte sich an etwas	he clung to something	dia berpegang teguh pada sesuatu	
3465	17_1687594051_0	17_1687594051	kiʔedóhoa	festgehängt sein , herabhängen , sich verfangen haben	to be attached , to hang down , to be caught	untuk dilampirkan, untuk digantung, untuk ditangkap	
3466	17_1687594051_1	17_1687594051	hoo buʔedóhoa	hing bereits herab	was already hanging down	sudah menggantung ke bawah	
3467	17_1687594051_2	17_1687594051	abuʔeʔedóhoa	wenn herabhängt	when hanging down	saat menggantung	
3468	17_1687594051_3	17_1687594051	kipaʔedóhoa	etwas aufhängen auf (tr)	hang something up (tr)	menggantung sesuatu (tr)	
3469	17_1687594051_4	17_1687594051	dapaʔedóhoa	sie hängen auf	they hang up	mereka menutup telepon	
3470	17_1687594051_5	17_1687594051	edipaʔedóhoa	Aufgehängtes	(things) suspended (noun)	(benda) yang ditangguhkan (kata benda)	
3471	17_1687594051_6	17_1687594051	epaʔedoáho	Aufzuhängendes	(things) to be hung (noun)	(benda) yang digantung (kata benda)	
3472	17_1687594051_7	17_1687594051	epahaʔedoáha	Aufhängensort	Hanging place	Tempat menggantung	
3473	17_1687594147_0	17_1687594147	eaheʔe	Böswilligkeit	malice	kedengkian	
3474	17_1687594147_1	17_1687594147	kaheʔe	sich erdreisten	to dare	untuk berani	
3475	17_1687615247_0	17_1687615247	eʔéaʔa - eʔeaʔá:əaʔa	schleife , poliere - schleift!	grind/sharpen/sand (sg) , polish (sg) - grind/sharpen/sand (pl)!	menggiling/mengasah/mengamplas (sg), memoles (sg) - menggiling/mengasah/mengamplas (pl)!	
3476	17_1687615247_1	17_1687615247	kiʔeʔéaʔa	schleifen	grind/sharpen/sand	menggiling/mengasah/mengampelas	
3477	17_1687615247_2	17_1687615247	hoo bahaheʔéaʔa	schliff bereits	already sanded	sudah diampelas	
3478	17_1687615247_3	17_1687615247	kidiʔEʔéaʔa	wird geschliffen	will be/is sanded	akan / sedang diampelas	
3479	17_1687615247_4	17_1687615247	ediʔEʔéaʔa	(noun) Geschliffene	the (thing) sanded (noun)	(benda) yang diampelas (kata benda)	
3480	17_1687615247_5	17_1687615247	eaheʔéaʔa	(noun) Schleifen	the sanding	pengamplasan	
3481	17_1687615247_6	17_1687615247	eaheʔeaʔá:əa	Schleifensort = Schleifstein	Grinding point = grindstone	Titik gerinda = batu gerinda	
3482	17_1687615559_0	17_1687615559	ʔua kiʔeʔebái	ich schneide ein (schräg von der Seite)	I cut in (diagonally from the side)	Saya memotong (secara diagonal dari samping)	
3483	17_1687615559_1	17_1687615559	kabuʔéʔebài	wir schneiden ein	we cut in	kami memotong	
3484	17_1687616034_0	17_1687616034	kiʔẽʔẽhẽ	husten	to cough	untuk batuk	
3485	17_1687616034_1	17_1687616034	hoo mũʔẽʔẽhẽ	hustete bereits	already coughed	sudah batuk	
3486	17_1687616034_2	17_1687616034	poʔẽʔẽhẽ	ein Huster sein	be a cougher	jadilah seorang yang batuk	
3487	17_1687616034_3	17_1687616034	kiʔẽʔẽhé:i	jmd/ etwas anhusten	to cough on someone/something	batuk pada seseorang/sesuatu	
3488	17_1687616034_4	17_1687616034	enĩʔẽʔẽ́hé:i	(noun) Angehustete	the (person) coughed on (noun)	(orang) yang terbatuk-batuk (kata benda)	
3489	17_1687616034_5	17_1687616034	kiʔẽʔẽhẽ́ãʔã	wegen etwas husten	to cough because of something	batuk karena sesuatu	
3490	17_1687616034_6	17_1687616034	enĩʔẽʔẽhẽ́ãʔã	das , weswegen gehustet wird	that because of which people cough	yang menyebabkan orang batuk	
3491	17_1687616507_0	17_1687616507	ayabaʔeʔei	er schlief mit ihr	he slept with her	dia tidur dengan dia	
3492	17_1687616507_1	17_1687616507	kipaʔeʔei	Geschlechtsverkehr ausüben ; ehebrechen	engage in sexual intercourse ; commit adultery	melakukan hubungan seksual; melakukan perzinahan	
3493	17_1687616507_2	17_1687616507	epaʔeʔei	Koitus , Geschlechtsverkehr	coitus , sexual intercourse	senggama , hubungan seksual	
3494	17_1687616507_3	17_1687616507	epaʔeʔéiya	Ort , wo man miteinander schläft	Place where you sleep together	Tempat di mana Anda tidur bersama	
3495	17_1687616507_4	17_1687616507	kipuʔeʔei	kastrieren	castrate	mengebiri	
3496	17_1687616741_0	17_1687616741	kieʔenei	eine Öffnung in etwas schneiden	to cut an opening in something	untuk membuat lubang pada sesuatu	
3497	17_1687617642_0	17_1687617642	kiʔẽʔẽpã	fliegen	to fly	untuk terbang	
3498	17_1687617642_1	17_1687617642	hoo buʔẽʔẽpã	flog bereits	already flew	sudah terbang	
3499	17_1687617642_10	17_1687617642	eʔẽpãhã	Fliegensort	Fly location	Lokasi terbang	
3500	17_1687617642_11	17_1687617642	edipaʔẽʔẽpã	das , was man fliegen laßt	that which you let fly	apa yang Anda biarkan terbang	
3501	17_1687617642_2	17_1687617642	kiʔẽʔẽpãhã	wird fliegen	will fly	akan terbang	
3502	17_1687617642_3	17_1687617642	kipaʔẽʔẽpã	fliegen lassen	let fly	biarkan terbang	
3503	17_1687617642_4	17_1687617642	kia kipahẽʔẽpã (iʔioo) ukẽʔẽpã eʔana	er läßt jenen Vogel fliegen	he lets that bird fly	dia membiarkan burung itu terbang	
3504	17_1687617642_5	17_1687617642	kabaʔẽʔẽʔẽpã	flattern	flutter	berkibar	
3505	17_1687617642_6	17_1687617642	ʔua kiʔẽʔẽpã́di	ich umflattere , umfliege	I flutter around , fly around	Aku berkibar, terbang di sekitar	
3506	17_1687617642_7	17_1687617642	kiʔẽʔẽpãhãʔã	mittels etwas fliegen	fly by means of something	terbang dengan menggunakan sesuatu	
3507	17_1687617642_8	17_1687617642	eaʔẽʔẽpã	das Fliegen , der Flug	flying , flight	terbang, penerbangan	
3508	17_1687617642_9	17_1687617642	epaʔepa	"""Fluginstrument"" = Flügel"	"""Flight instrument"" = wing(s)"	"""Instrumen penerbangan"" = sayap"	
3509	17_1687618232_0	17_1687618232	kabéʔe:u	stehen	to stand	untuk berdiri	
3510	17_1687618232_1	17_1687618232	abéʔe:uaʔa	steht aufǃ	stand up! (pl)	berdiri!	
3511	17_1687618232_10	17_1687618232	epabeʔé:uo	zu Errichtendes	thing to be built	hal yang akan dibangun	
3512	17_1687618232_2	17_1687618232	kababeʔe:u	sich erheben	rise	naik	
3513	17_1687618232_3	17_1687618232	dababéʔe:u	sie standen auf	they stood up	mereka berdiri	
3514	17_1687618232_4	17_1687618232	kipabéʔe:u	errichten , bauen , etwas aufrichten	erect , build , raise something	mendirikan, membangun, meningkatkan sesuatu	
3515	17_1687618232_5	17_1687618232	kipabéʔe:u ebaka	die Augen heben	raise the eyes	angkat mata	
3516	17_1687618232_6	17_1687618232	kipabéʔe:u euba	ein Haus bauen	build a house	membangun rumah	
3517	17_1687618232_7	17_1687618232	hoo pabeʔe:u	richtete bereits auf	already erected	sudah didirikan	
3518	17_1687618232_8	17_1687618232	edipabéʔe:u	(noun) Aufgerichtete , Errichtete	the (thing) raised/erected (noun)	(benda) yang diangkat/didirikan (kata benda)	
3519	17_1687618232_9	17_1687618232	epahabeʔe:u	(noun) Bauen	the building (process) (noun)	pembangunan (proses) (kata benda)	
3520	17_1687959039_0	17_1687959039	eʔẽhẽ	der/das Husten	the cough(ing)	batuk	
3521	17_1687959238_0	17_1687959238	eẽhẽẽ	das , was zum Abstreifen dient	that which is used for stripping	yang digunakan untuk pengupasan	
3522	17_1687959485_0	17_1687959485	epaʔehéaʔa	Überschuß	surplus	surplus	
3523	17_1687959561_0	17_1687959561	kaeheaʔoho:i	stören	disturb	mengganggu	
3524	17_1687959779_0	17_1687959779	ẽhẽ́:ĩ́ʔĩũ	mein jüngeres Geschwister	my younger sibling	adikku	
3525	17_1687959919_0	17_1687959919	kiehodi	dauernd an etwas vorbeigehen , flanieren	to constantly walk past something , to stroll	untuk terus berjalan melewati sesuatu , berjalan-jalan	
3526	17_1687960120_0	17_1687960120	eei	das Kommen	the coming	yang akan datang	
3527	17_1688132943_0	17_1688132943	eʔii udopo	Tier(e)	animal(s)	hewan	
3528	17_1688133342_0	17_1688133342	ía·daʔa iteʔe	bleibe hier zurückǃ	stay behind hereǃ (sg)	tinggal di belakang siniǃ (sg)	
3529	17_1688133342_1	17_1688133342	eíaha	Platz , Ort , Aufenthaltsort	place , location , whereabouts	tempat, lokasi, keberadaan	
3530	17_1688133342_2	17_1688133342	kabia	vorhanden sein	be present	hadir	
3531	17_1688133342_3	17_1688133342	abia	wenn vorhanden ist , wenn es gibt	if there is , if there is	jika ada, jika ada	
3532	17_1688133342_4	17_1688133342	kabaiya	bleiben , sich befinden	stay , be located	tinggal, berada di lokasi	
3533	17_1688133342_5	17_1688133342	eabaiya	das Bleiben	the staying	yang tinggal	
3534	17_1688133342_6	17_1688133342	ehabaiya	Aufenthaltsort	abode	tempat tinggal	
3535	17_1688133407_0	17_1688133407	kiʔiabi	schälen	to peel	untuk mengupas	
3536	17_1688133833_0	17_1688133833	iʔíaha	wo? ; (nach Verben der Bewegung:) wohin?	where? ; (after verbs of movement:) where to?	di mana; (setelah kata kerja pergerakan:) ke mana?	
3537	17_1688133833_1	17_1688133833	ebee uʔíaha	der Saft von was?	the juice of what?	jus dari apa?	
3538	17_1688133833_2	17_1688133833	[e]hii ʔíahape	und was auch immer	and whatever	dan apa pun	
3539	17_1688133833_3	17_1688133833	aeʔíaha	was auch immer	whatever	apa pun	
3540	17_1688133833_4	17_1688133833	hii eʔíahaʔíahahói	und so weiter , usw	and so on , etc	dan seterusnya, dll	
3541	17_1688133833_5	17_1688133833	eʔíahaʔíahahói	was auch immer , irgendetwas	whatever , anything	apa pun, apa pun	
3542	17_1688134023_0	17_1688134023	kikianə̃nã	schweigen	be silent	diam	
3543	17_1688134023_1	17_1688134023	hoo bianə̃nã	schwieg bereits	was already silent	sudah diam	
3544	17_1688134145_0	17_1688134145	kaʔəai	bereitstellen	provide	menyediakan	
3545	17_1688134204_0	17_1688134204	kiʔiəba	verkehren	to frequent	untuk sering	
3546	17_1688134516_0	17_1688134516	kəbaki	in Unordnung bringen	make a mess	membuat berantakan	
3547	17_1688134516_1	17_1688134516	kabaəbaki	sich vergreifen an , stehlen	to attack , to steal	untuk menyerang, untuk mencuri	
3548	17_1688135819_0	17_1688135819	kəda	leben , gedeihen	live , thrive	hidup, berkembang	
3549	17_1688135819_1	17_1688135819	hoo bəda	lebte bereits	already lived	sudah hidup	
3550	17_1688135819_10	17_1688135819	edipa:əda	(noun) Versorgte	the (person) supplied (for) (noun)	(orang) yang disediakan (untuk) (kata benda)	
3551	17_1688135819_11	17_1688135819	eapa:əda	Lebensunterhalt	Livelihood	Mata pencaharian	
3552	17_1688135819_12	17_1688135819	eahaba:əda	Versorgung , Erziehung , das Aufziehen ; Krankenbeschwörung	Care , upbringing , rearing ; summoning the sick	Perawatan, pengasuhan, pemeliharaan; memanggil orang sakit	
3553	17_1688135819_13	17_1688135819	eahaba:ədáha	Aufziehensort ; Vollwaise , die von der Familie der Mutter(-sippe) aufgezogen wird	place of upbringing ; orphan raised by the mother's (clan's) family	tempat pengasuhan; anak yatim piatu yang dibesarkan oleh keluarga (marga) ibu	
3554	17_1688135819_2	17_1688135819	kədaha	wird leben	will live	akan hidup	
3555	17_1688135819_3	17_1688135819	kahaba:əda	versorgen , aufziehen , züchten	to provide for , raise , breed	untuk memenuhi kebutuhan, membesarkan, berkembang biak	
3556	17_1688135819_4	17_1688135819	hoo pa:əda	zog bereits auf	already raised	sudah dibesarkan	
3557	17_1688135819_5	17_1688135819	kidipa:əda	aufgezogen werden	being raised	dibesarkan	
3558	17_1688135819_6	17_1688135819	kipara:əda hii	gleichaltrig sein mit	to be the same age as	memiliki usia yang sama dengan	
3559	17_1688135819_7	17_1688135819	kipa:ədahaʔa	mit etwas aufziehen	to bring up with something	untuk memunculkan sesuatu	
3560	17_1688135819_8	17_1688135819	eəda	Leben , Gedeihen , Wachstum , Lebensunterhalt ; das Alter	life , prosperity , growth , livelihood ; old age	kehidupan, kemakmuran, pertumbuhan, mata pencaharian; usia tua	
3561	17_1688135819_9	17_1688135819	eədáha	Lebensort , Wohnort , Ort , wo etwas gedeiht ; Lebensbeginn	place of life , dwelling place , place where something thrives ; beginning of life	tempat hidup, tempat tinggal, tempat di mana sesuatu tumbuh subur; awal kehidupan	
3562	17_1688261924_0	17_1688261924	kəda	setzen , stellen , legen ; etwas aufbewahren	to set , place , lay ; to keep something	mengatur, menempatkan, meletakkan; menyimpan sesuatu	
3563	17_1688261924_1	17_1688261924	yáraʔa bəda	lege nichtǃ	do not layǃ (sg)	jangan meletakkanǃ (sg)	
3564	17_1688261924_10	17_1688261924	eaha:əda	das Umlagern , Anlegen , Legen	the relocating , laying	pemindahan, peletakan	
3565	17_1688261924_11	17_1688261924	eaha:əda uahamiʔi	Strafe auferlegen	impose punishment	menjatuhkan hukuman	
3566	17_1688261924_12	17_1688261924	eədaho	(noun) Aufzubewahrende	the (thing) to be stored/kept (noun)	(benda) yang akan disimpan/disimpan (kata benda)	
3567	17_1688261924_13	17_1688261924	eaha:ədáha	Aufbewahrensort	Storage location	Lokasi penyimpanan	
3568	17_1688261924_2	17_1688261924	iodara	er legt sie	he puts them	dia menempatkan mereka	
3569	17_1688261924_3	17_1688261924	kabəda	er stellte	he placed	ia menempatkan	
3570	17_1688261924_4	17_1688261924	dahoo aba:əda	sie haben niedergelegt	they have laid down	mereka telah menetapkan	
3571	17_1688261924_5	17_1688261924	kibədaha enĩə̃nĩã	seinen Namen geben	give his name	berikan namanya	
3572	17_1688261924_6	17_1688261924	kibəda	sie legten	they laied	mereka laied	
3573	17_1688261924_7	17_1688261924	kidaha:əda	wird gelegt , bleibt liegen	is laid , remains lying	diletakkan , tetap berbohong	
3574	17_1688261924_8	17_1688261924	kabadaha:əda	liegen bleiben	remain in place	tetap di tempat	
3575	17_1688261924_9	17_1688261924	edəda	(noun) Aufbewahrte	the (thing) stored/kept (noun)	(benda) yang disimpan/disimpan (kata benda)	
3576	17_1688263363_0	17_1688263363	iədaʔa	es ziemt sich	it is proper	itu tepat	
3577	17_1688263642_0	17_1688263642	ədaʔá:əaʔa	für jmd zubereiten	prepare for someone	mempersiapkan seseorang	
3578	17_1688263642_1	17_1688263642	ʔua kədaʔá:əaʔa ʔua	ich bereite (in Bezug auf =) für mich zu	I prepare (in relation to =) for myself	Saya mempersiapkan (dalam kaitannya dengan =) untuk diri saya sendiri	
3579	17_1688263930_0	17_1688263930	kipaʔa:ədəáʔa	etwas zum Schärfen benutzen	use something for sharpening	gunakan sesuatu untuk mengasah	
3580	17_1688263930_1	17_1688263930	edipaʔa:ədə́aʔa	das zum Schärfen Benutzte	the thing used for sharpening	benda yang digunakan untuk mengasah	
3581	17_1688264032_0	17_1688264032	eəʔədəaʔa	Sperre	Lock	Mengunci	
3582	17_1688265256_0	17_1688265256	kiʔədəháha	werde erschrecken	will scare	akan menakut-nakuti	
3583	17_1688265256_1	17_1688265256	kiʔədəháʔa	jmd erschrecken (tr)	scare someone (tr)	menakut-nakuti seseorang (tr)	
3584	17_1688265256_2	17_1688265256	hoo buʔədəhaʔa	erschreckt haben	have frightened	telah menakut-nakuti	
3585	17_1688265256_3	17_1688265256	ediʔədəháʔa	Erschreckte(r) sein	to be a scared person	menjadi orang yang penakut	
3586	17_1688266321_0	17_1688266321	kiʔədə́həa	erschrecken (intr)	frighten (intr)	menakut-nakuti (intr)	
3587	17_1688266321_1	17_1688266321	kiʔədə́həa ekitaiʔiu	ich erschrecke	I frighten (act/pass)	Saya takut (bertindak/lulus)	
3588	17_1688266321_2	17_1688266321	kaʔədə́həa	plötzlich (?ǃ) erschrecken (intr) , erschrocken sein	suddenly (?ǃ) be frightened (intr) , be startled	tiba-tiba (?ǃ) takut (intr) , terkejut	
3589	17_1688266321_3	17_1688266321	kabaʔədə́həa	erschrecken (intr)	frighten (intr)	menakut-nakuti (intr)	
3590	17_1688266321_4	17_1688266321	kiʔədəh[ə]áʔa	jmd erschrecken	scare someone	menakut-nakuti seseorang	
3591	17_1688266321_5	17_1688266321	paʔədəhəáʔa	erschrecke jmd mit etwasǃ	scare someone with somethingǃ (sg)	menakut-nakuti seseorang dengan sesuatuǃ (sg)	
3592	17_1688266321_6	17_1688266321	ediʔədəh[e]áʔa	Erschreckte(r) sein	to be a scared person	menjadi orang yang penakut	
3593	17_1688266438_0	17_1688266438	kaədəhə́aʔa	anklagen	accuse	menuduh	
3594	17_1688266639_0	17_1688266639	ekaka eiʔie eʔə̃hã	dieser Mensch ist kalt	this person is cold	orang ini dingin	
